DOI	DataCite API URL
10.6084/m9.figshare.21095302	https://api.datacite.org/dois/10.6084/m9.figshare.21095302
10.6084/m9.figshare.21095302.v1	https://api.datacite.org/dois/10.6084/m9.figshare.21095302.v1
10.6084/m9.figshare.21095368	https://api.datacite.org/dois/10.6084/m9.figshare.21095368
10.6084/m9.figshare.21095368.v1	https://api.datacite.org/dois/10.6084/m9.figshare.21095368.v1
10.6084/m9.figshare.21096010	https://api.datacite.org/dois/10.6084/m9.figshare.21096010
10.6084/m9.figshare.21155923	https://api.datacite.org/dois/10.6084/m9.figshare.21155923
10.6084/m9.figshare.21217871	https://api.datacite.org/dois/10.6084/m9.figshare.21217871
10.6084/m9.figshare.21217871.v1	https://api.datacite.org/dois/10.6084/m9.figshare.21217871.v1
10.6084/m9.figshare.21405936	https://api.datacite.org/dois/10.6084/m9.figshare.21405936
10.6084/m9.figshare.21405936.v1	https://api.datacite.org/dois/10.6084/m9.figshare.21405936.v1
10.6084/m9.figshare.21970598	https://api.datacite.org/dois/10.6084/m9.figshare.21970598
10.6084/m9.figshare.22081106	https://api.datacite.org/dois/10.6084/m9.figshare.22081106
10.6084/m9.figshare.22081106.v1	https://api.datacite.org/dois/10.6084/m9.figshare.22081106.v1
10.6084/m9.figshare.22081112	https://api.datacite.org/dois/10.6084/m9.figshare.22081112
10.6084/m9.figshare.22082381	https://api.datacite.org/dois/10.6084/m9.figshare.22082381
10.6084/m9.figshare.22220689	https://api.datacite.org/dois/10.6084/m9.figshare.22220689
10.6084/m9.figshare.24319624	https://api.datacite.org/dois/10.6084/m9.figshare.24319624
10.6084/m9.figshare.24319624.v1	https://api.datacite.org/dois/10.6084/m9.figshare.24319624.v1
10.6084/m9.figshare.24319624.v2	https://api.datacite.org/dois/10.6084/m9.figshare.24319624.v2
10.6084/m9.figshare.24520621	https://api.datacite.org/dois/10.6084/m9.figshare.24520621
10.6084/m9.figshare.24938814	https://api.datacite.org/dois/10.6084/m9.figshare.24938814
10.6084/m9.figshare.24938814.v1	https://api.datacite.org/dois/10.6084/m9.figshare.24938814.v1
10.6084/m9.figshare.26279518	https://api.datacite.org/dois/10.6084/m9.figshare.26279518
10.6084/m9.figshare.26279518.v1	https://api.datacite.org/dois/10.6084/m9.figshare.26279518.v1
10.6084/m9.figshare.26308327	https://api.datacite.org/dois/10.6084/m9.figshare.26308327
10.6084/m9.figshare.26308327.v1	https://api.datacite.org/dois/10.6084/m9.figshare.26308327.v1
10.6084/m9.figshare.32952458	https://api.datacite.org/dois/10.6084/m9.figshare.32952458
10.6084/m9.figshare.32952530	https://api.datacite.org/dois/10.6084/m9.figshare.32952530
10.6084/m9.figshare.32952662	https://api.datacite.org/dois/10.6084/m9.figshare.32952662
