Base DOI,Title,Year,Authors,Known versions,Explicit DOI(s),DataCite Commons URL,DataCite API URL,Figshare status,DataCite state,Evidence / confidence
10.6084/m9.figshare.21095302,CES 2022 Unveils a Glimpse of the Future,2022,"Leocadio, P. H. and Paulo Leocadio",v1,10.6084/m9.figshare.21095302.v1,https://commons.datacite.org/doi.org/10.6084/m9.figshare.21095302,https://api.datacite.org/dois/10.6084/m9.figshare.21095302,Affected corpus: Figshare removal/access-disabled page reported by user,Not independently captured,Pending raw API/Commons capture
10.6084/m9.figshare.21095368,The importance of Big Data: US Internal Revenue Service,2022,"Leocadio, P. H. and Paulo Leocadio",v1,10.6084/m9.figshare.21095368.v1,https://commons.datacite.org/doi.org/10.6084/m9.figshare.21095368,https://api.datacite.org/dois/10.6084/m9.figshare.21095368,Affected corpus: Figshare removal/access-disabled page reported by user,Not independently captured,Pending raw API/Commons capture
10.6084/m9.figshare.21096010,Cardiac Pacemakers: A Closer Look at Technological Innovations,2022,"Leocadio, P. H. and Paulo Leocadio",none explicit,10.6084/m9.figshare.21096010,https://commons.datacite.org/doi.org/10.6084/m9.figshare.21096010,https://api.datacite.org/dois/10.6084/m9.figshare.21096010,Affected corpus: Figshare removal/access-disabled page reported by user,Not independently captured,Pending raw API/Commons capture
10.6084/m9.figshare.21155923,The Sustainability of Smart Cities and Digital Government,2022,"Leocadio, P. H. and Paulo Leocadio",none explicit,10.6084/m9.figshare.21155923,https://commons.datacite.org/doi.org/10.6084/m9.figshare.21155923,https://api.datacite.org/dois/10.6084/m9.figshare.21155923,Affected corpus: Figshare removal/access-disabled page reported by user,Not independently captured,Pending raw API/Commons capture
10.6084/m9.figshare.21217871,Artificial Intelligence Data Drive Marketing,2022,"Leocadio, P. H. and Paulo Leocadio",v1,10.6084/m9.figshare.21217871.v1,https://commons.datacite.org/doi.org/10.6084/m9.figshare.21217871,https://api.datacite.org/dois/10.6084/m9.figshare.21217871,Affected corpus: Figshare removal/access-disabled page reported by user,Not independently captured,Pending raw API/Commons capture
10.6084/m9.figshare.21405936,iGIS REPORT (GIP),2022,"Leocadio, P. H. and Paulo Leocadio",v1,10.6084/m9.figshare.21405936.v1,https://commons.datacite.org/doi.org/10.6084/m9.figshare.21405936,https://api.datacite.org/dois/10.6084/m9.figshare.21405936,Affected corpus: Figshare removal/access-disabled page reported by user,Not independently captured,Pending raw API/Commons capture
10.6084/m9.figshare.21970598,Gauging the Carbon Footprint Impact of Mining Cryptocurrencies,2023,"Leocadio, P. H. and Paulo Leocadio",none explicit,10.6084/m9.figshare.21970598,https://commons.datacite.org/doi.org/10.6084/m9.figshare.21970598,https://api.datacite.org/dois/10.6084/m9.figshare.21970598,Affected corpus: Figshare removal/access-disabled page reported by user,Not independently captured,Pending raw API/Commons capture
10.6084/m9.figshare.22081106,MSF Process Model v. 3.1,2023,"Leocadio, P. H.",v1,10.6084/m9.figshare.22081106.v1,https://commons.datacite.org/doi.org/10.6084/m9.figshare.22081106,https://api.datacite.org/dois/10.6084/m9.figshare.22081106,Affected corpus: Figshare removal/access-disabled page reported by user,Not independently captured,Pending raw API/Commons capture
10.6084/m9.figshare.22081112,MSF Risk Management Discipline v.1.1,2023,"Leocadio, P. H. and Paulo Leocadio and Andres Vinet and Brian Willson and Ron Stutz and Ralph Schimpl and Anthony Saxby and Paulo Rocha and Allison Robin and David Preedy and Derick Campbell and Rick Varvel and Joseph Lopesilvero and Francis Delgado Millan and Dolph Santello and David Millett and Brian Carter and Scott Getchell and Rob Oikawa and Pervez Kazmi and Paul Haynes and Nancy Huber and Marijke Born and Enzo Paschino and Laura Hargrave",none explicit,10.6084/m9.figshare.22081112,https://commons.datacite.org/doi.org/10.6084/m9.figshare.22081112,https://api.datacite.org/dois/10.6084/m9.figshare.22081112,Affected corpus: Figshare removal/access-disabled page reported by user,Not independently captured,Pending raw API/Commons capture
10.6084/m9.figshare.22082381,MSF Team Model v. 3.1,2023,"Leocadio, P. H. and Paul Haynes and Allison Robin and Enzo Paschino and Mark Short and Pervez Kazmi and Rob Oikawa and Scott Getchell and Laura Hargrave and Mike Lubrecht and Nany Huber and Suzana Vukcevic and Paulo Leocadio and Paulo Rocha and Dolph Santello and Ralph Schimpl",none explicit,10.6084/m9.figshare.22082381,https://commons.datacite.org/doi.org/10.6084/m9.figshare.22082381,https://api.datacite.org/dois/10.6084/m9.figshare.22082381,Affected corpus: Figshare removal/access-disabled page reported by user,Not independently captured,Pending raw API/Commons capture
10.6084/m9.figshare.22220689,Large Language Models ‒ Machine Learning Down To Earth,2023,"Leocadio, P. H. and Paulo Leocadio",none explicit,10.6084/m9.figshare.22220689,https://commons.datacite.org/doi.org/10.6084/m9.figshare.22220689,https://api.datacite.org/dois/10.6084/m9.figshare.22220689,Affected corpus: Figshare removal/access-disabled page reported by user,Not independently captured,Pending raw API/Commons capture
10.6084/m9.figshare.24319624,How AI will transform eGov and Smart Cities,2023,"Leocadio, Paulo","v1, v2","10.6084/m9.figshare.24319624.v1, 10.6084/m9.figshare.24319624.v2",https://commons.datacite.org/doi.org/10.6084/m9.figshare.24319624,https://api.datacite.org/dois/10.6084/m9.figshare.24319624,Affected corpus: Figshare removal/access-disabled page reported by user,Not independently captured,Pending raw API/Commons capture
10.6084/m9.figshare.24520621,Cardiac Pacemakers: The Route to Implantable Artificial Intelligence,2023,"Leocadio, P. H. and Paulo Leocadio",none explicit,10.6084/m9.figshare.24520621,https://commons.datacite.org/doi.org/10.6084/m9.figshare.24520621,https://api.datacite.org/dois/10.6084/m9.figshare.24520621,Affected corpus: Figshare removal/access-disabled page reported by user,Not independently captured,Pending raw API/Commons capture
10.6084/m9.figshare.24938814,"Navigating Prototyping Excellence: A Comprehensive Framework Integrating Technological Feasibility, Market Research, Resource Allocation, and Iterative Design Processes",2024,"Leocadio, P. H. and Paulo Leocadio",v1,10.6084/m9.figshare.24938814.v1,https://commons.datacite.org/doi.org/10.6084/m9.figshare.24938814,https://api.datacite.org/dois/10.6084/m9.figshare.24938814,Affected corpus: Figshare removal/access-disabled page reported by user,Not independently captured,Pending raw API/Commons capture
10.6084/m9.figshare.26279518,"Advancements in I​mplantable ​M​e​d​​i​ca​l Devices: A Comprehensive Analysis of Artificial Intelligence Integration, Adoption, and Applicability in Bio?Tech Innovations (Revised Version).",2024,"Leocadio, P. H. and Paulo Leocadio",v1,10.6084/m9.figshare.26279518.v1,https://commons.datacite.org/doi.org/10.6084/m9.figshare.26279518,https://api.datacite.org/dois/10.6084/m9.figshare.26279518,Affected corpus: Figshare removal/access-disabled page reported by user,Findable confirmed for .v2,Confirmed by supplied DataCite Commons screenshot
10.6084/m9.figshare.26308327,NAVIGATING UPWORK: UNDERSTANDING CORPORATE DYNAMICS AND UNVEILING FREELANCER REALITIES AMID POLICY DISRUPTION,2024,"Leocadio, P. H. and Paulo Leocadio",v1,10.6084/m9.figshare.26308327.v1,https://commons.datacite.org/doi.org/10.6084/m9.figshare.26308327,https://api.datacite.org/dois/10.6084/m9.figshare.26308327,Affected corpus: Figshare removal/access-disabled page reported by user,Not independently captured,Pending raw API/Commons capture
10.6084/m9.figshare.32952458,Differentiable Latent Indexing inside Large Language Models (DLI-LLM) - Hypothesis 1,2026,"Leocadio, P. H. and Paulo Leocadio",none explicit,10.6084/m9.figshare.32952458,https://commons.datacite.org/doi.org/10.6084/m9.figshare.32952458,https://api.datacite.org/dois/10.6084/m9.figshare.32952458,Affected corpus: Figshare removal/access-disabled page reported by user,Not independently captured,Pending raw API/Commons capture
10.6084/m9.figshare.32952530,Curriculum-Induced Symbol Invention for Emergent Reasoning Primitives (CISI) – Hypothesis 2,2026,"Leocadio, P. H. and Paulo Leocadio",none explicit,10.6084/m9.figshare.32952530,https://commons.datacite.org/doi.org/10.6084/m9.figshare.32952530,https://api.datacite.org/dois/10.6084/m9.figshare.32952530,Affected corpus: Figshare removal/access-disabled page reported by user,Not independently captured,Pending raw API/Commons capture
10.6084/m9.figshare.32952662,Hierarchical Topic-Conditioned Routing for Mixture-of-Expert Language Models (HTCR) – Hypothesis 3,2026,"Leocadio, P. H. and Paulo Leocadio",none explicit,10.6084/m9.figshare.32952662,https://commons.datacite.org/doi.org/10.6084/m9.figshare.32952662,https://api.datacite.org/dois/10.6084/m9.figshare.32952662,Affected corpus: Figshare removal/access-disabled page reported by user,Not independently captured,Pending raw API/Commons capture
