DOI,Base DOI,Version,Title,Year,DataCite Commons URL,DataCite API URL
10.6084/m9.figshare.21095302.v1,10.6084/m9.figshare.21095302,v1,CES 2022 Unveils a Glimpse of the Future,2022,https://commons.datacite.org/doi.org/10.6084/m9.figshare.21095302.v1,https://api.datacite.org/dois/10.6084/m9.figshare.21095302.v1
10.6084/m9.figshare.21095368.v1,10.6084/m9.figshare.21095368,v1,The importance of Big Data: US Internal Revenue Service,2022,https://commons.datacite.org/doi.org/10.6084/m9.figshare.21095368.v1,https://api.datacite.org/dois/10.6084/m9.figshare.21095368.v1
10.6084/m9.figshare.21096010,10.6084/m9.figshare.21096010,,Cardiac Pacemakers: A Closer Look at Technological Innovations,2022,https://commons.datacite.org/doi.org/10.6084/m9.figshare.21096010,https://api.datacite.org/dois/10.6084/m9.figshare.21096010
10.6084/m9.figshare.21155923,10.6084/m9.figshare.21155923,,The Sustainability of Smart Cities and Digital Government,2022,https://commons.datacite.org/doi.org/10.6084/m9.figshare.21155923,https://api.datacite.org/dois/10.6084/m9.figshare.21155923
10.6084/m9.figshare.21217871.v1,10.6084/m9.figshare.21217871,v1,Artificial Intelligence Data Drive Marketing,2022,https://commons.datacite.org/doi.org/10.6084/m9.figshare.21217871.v1,https://api.datacite.org/dois/10.6084/m9.figshare.21217871.v1
10.6084/m9.figshare.21405936.v1,10.6084/m9.figshare.21405936,v1,iGIS REPORT (GIP),2022,https://commons.datacite.org/doi.org/10.6084/m9.figshare.21405936.v1,https://api.datacite.org/dois/10.6084/m9.figshare.21405936.v1
10.6084/m9.figshare.21970598,10.6084/m9.figshare.21970598,,Gauging the Carbon Footprint Impact of Mining Cryptocurrencies,2023,https://commons.datacite.org/doi.org/10.6084/m9.figshare.21970598,https://api.datacite.org/dois/10.6084/m9.figshare.21970598
10.6084/m9.figshare.22081106.v1,10.6084/m9.figshare.22081106,v1,MSF Process Model v. 3.1,2023,https://commons.datacite.org/doi.org/10.6084/m9.figshare.22081106.v1,https://api.datacite.org/dois/10.6084/m9.figshare.22081106.v1
10.6084/m9.figshare.22081112,10.6084/m9.figshare.22081112,,MSF Risk Management Discipline v.1.1,2023,https://commons.datacite.org/doi.org/10.6084/m9.figshare.22081112,https://api.datacite.org/dois/10.6084/m9.figshare.22081112
10.6084/m9.figshare.22082381,10.6084/m9.figshare.22082381,,MSF Team Model v. 3.1,2023,https://commons.datacite.org/doi.org/10.6084/m9.figshare.22082381,https://api.datacite.org/dois/10.6084/m9.figshare.22082381
10.6084/m9.figshare.22220689,10.6084/m9.figshare.22220689,,Large Language Models ‒ Machine Learning Down To Earth,2023,https://commons.datacite.org/doi.org/10.6084/m9.figshare.22220689,https://api.datacite.org/dois/10.6084/m9.figshare.22220689
10.6084/m9.figshare.24319624.v1,10.6084/m9.figshare.24319624,v1,"Proceedings from the 2nd World Conference on Artificial Intelligence, Machine Learning and Data ScienceOctober 19 - 20 , 2023 | Paris, France",2023,https://commons.datacite.org/doi.org/10.6084/m9.figshare.24319624.v1,https://api.datacite.org/dois/10.6084/m9.figshare.24319624.v1
10.6084/m9.figshare.24319624.v2,10.6084/m9.figshare.24319624,v2,How AI will transform eGov and Smart Cities,2023,https://commons.datacite.org/doi.org/10.6084/m9.figshare.24319624.v2,https://api.datacite.org/dois/10.6084/m9.figshare.24319624.v2
10.6084/m9.figshare.24520621,10.6084/m9.figshare.24520621,,Cardiac Pacemakers: The Route to Implantable Artificial Intelligence,2023,https://commons.datacite.org/doi.org/10.6084/m9.figshare.24520621,https://api.datacite.org/dois/10.6084/m9.figshare.24520621
10.6084/m9.figshare.24938814.v1,10.6084/m9.figshare.24938814,v1,"Navigating Prototyping Excellence: A Comprehensive Framework Integrating Technological Feasibility, Market Research, Resource Allocation, and Iterative Design Processes",2024,https://commons.datacite.org/doi.org/10.6084/m9.figshare.24938814.v1,https://api.datacite.org/dois/10.6084/m9.figshare.24938814.v1
10.6084/m9.figshare.26279518.v1,10.6084/m9.figshare.26279518,v1,"Advancements in I​mplantable ​M​e​d​​i​ca​l Devices: A Comprehensive Analysis of Artificial Intelligence Integration, Adoption, and Applicability in Bio?Tech Innovations (Revised Version).",2024,https://commons.datacite.org/doi.org/10.6084/m9.figshare.26279518.v1,https://api.datacite.org/dois/10.6084/m9.figshare.26279518.v1
10.6084/m9.figshare.26308327.v1,10.6084/m9.figshare.26308327,v1,NAVIGATING UPWORK: UNDERSTANDING CORPORATE DYNAMICS AND UNVEILING FREELANCER REALITIES AMID POLICY DISRUPTION,2024,https://commons.datacite.org/doi.org/10.6084/m9.figshare.26308327.v1,https://api.datacite.org/dois/10.6084/m9.figshare.26308327.v1
10.6084/m9.figshare.32952458,10.6084/m9.figshare.32952458,,Differentiable Latent Indexing inside Large Language Models (DLI-LLM) - Hypothesis 1,2026,https://commons.datacite.org/doi.org/10.6084/m9.figshare.32952458,https://api.datacite.org/dois/10.6084/m9.figshare.32952458
10.6084/m9.figshare.32952530,10.6084/m9.figshare.32952530,,Curriculum-Induced Symbol Invention for Emergent Reasoning Primitives (CISI) – Hypothesis 2,2026,https://commons.datacite.org/doi.org/10.6084/m9.figshare.32952530,https://api.datacite.org/dois/10.6084/m9.figshare.32952530
10.6084/m9.figshare.32952662,10.6084/m9.figshare.32952662,,Hierarchical Topic-Conditioned Routing for Mixture-of-Expert Language Models (HTCR) – Hypothesis 3,2026,https://commons.datacite.org/doi.org/10.6084/m9.figshare.32952662,https://api.datacite.org/dois/10.6084/m9.figshare.32952662
